iShares Russell 1000 ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"120,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","56,277,575.35","0.13","56,277,575.35","278,065.00","202.39","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","55,132,761.20","0.13","55,132,761.20","216,785.00","254.32","United States","NYSE","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","54,541,141.50","0.13","54,541,141.50","115,590.00","471.85","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","54,487,798.08","0.13","54,487,798.08","380,927.00","143.04","United States","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","54,133,762.72","0.13","54,133,762.72","600,752.00","90.11","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"PSX","PHILLIPS","Energy","Equity","54,089,454.96","0.13","54,089,454.96","287,282.00","188.28","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","54,086,588.46","0.13","54,086,588.46","214,706.00","251.91","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","53,863,039.90","0.13","53,863,039.90","924,370.00","58.27","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","53,631,517.00","0.13","53,631,517.00","72,700.00","737.71","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","53,516,109.76","0.13","53,516,109.76","206,594.00","259.04","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","53,193,304.65","0.13","53,193,304.65","1,340,895.00","39.67","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","52,982,648.58","0.13","52,982,648.58","194,954.00","271.77","United States","NASDAQ","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","52,698,267.82","0.13","52,698,267.82","153,206.00","343.97","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","52,199,528.80","0.13","52,199,528.80","119,090.00","438.32","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","51,865,119.46","0.12","51,865,119.46","164,458.00","315.37","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","51,867,192.28","0.12","51,867,192.28","136,324.00","380.47","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","51,774,358.40","0.12","51,774,358.40","109,580.00","472.48","Sweden","NYSE","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","51,481,583.60","0.12","51,481,583.60","98,390.00","523.24","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","50,444,908.80","0.12","50,444,908.80","402,272.00","125.40","United States","NYSE","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","50,304,369.26","0.12","50,304,369.26","158,419.00","317.54","United States","NASDAQ","USD","1.00","USD","-"
